State,City,Country,latitude,longitude
Connecticut,Bolton,US,41.7689878,-72.4334173
,Bolton,UK,53.5782863,-2.4300367
Connecticut,Bristol,US,41.6735209,-72.9464859
,Bristol,UK,51.4538022,-2.5972985
Connecticut,Canterbury,US,41.6982056,-71.9709821
,Canterbury,UK,51.2800275,1.0802533
Connecticut,Cheshire,US,41.4989861,-72.900658
,Cheshire,UK,53.2141028,-2.471770086071205
Connecticut,Chester,US,41.4031547,-72.4509204
,Chester,UK,53.1908873,-2.8908955
Connecticut,Chesterfield,US,41.4273202,-72.2145238
,Chesterfield,UK,53.2352134,-1.4264097
Connecticut,Colchester,US,41.5756543,-72.3320269
,Colchester,UK,51.8896903,0.8994651
Connecticut,Colebrook,US,41.9895388,-73.0956646
,Colebrook,UK,51.36253727104982,-0.5249028092743776
Connecticut,Cornwall,US,41.8437058,-73.3292848
,Cornwall,UK,50.416667,-4.75
Connecticut,Coventry,US,41.7700987,-72.3050803
,Coventry,UK,52.4081812,-1.510477
Connecticut,Danbury,US,41.394817,-73.4540111
,Danbury,UK,51.7109,0.5783784792198463
Connecticut,Derby,US,41.32896137834934,-73.07639223945577
,Derby,UK,52.9142235,-1.4719885461266053
Connecticut,Durham,US,41.4817647,-72.6812059
,Durham,UK,54.666667,-1.75
Connecticut,East Hampton,US,41.5758442,-72.5024804
,East Hampton,UK,51.4357056656806,-0.3769594570284768
Connecticut,East Windsor,US,41.9156316,-72.6130726
Connecticut,Easton,US,41.2528738,-73.2973394
,Easton,UK,52.3239273,-0.33245863730073444
Connecticut,Ellington,US,41.9039863,-72.4698071
,Ellington,UK,52.331611499999994,-0.2863624357246388
Connecticut,Enfield,US,41.9789387,-72.5755109
,Enfield,UK,51.6520851,-0.0810175
Connecticut,Essex,US,41.33231440621444,-72.39519425937021
,Essex,UK,51.77046785,0.46466977412300386
Connecticut,Farmington,US,41.7198216,-72.8320435
,Farmington,UK,51.8315245,-1.7988752280053433
Connecticut,Glastonbury,US,41.7123218,-72.608146
,Glastonbury,UK,51.14804,-2.716577
Connecticut,Granby,US,41.9538298,-72.789313
,Granby,UK,52.9183257,-0.8855771
Connecticut,Greenwich,US,41.0264862,-73.6284598
,Greenwich,UK,51.4820845,-0.0045417
Connecticut,Guilford,US,41.2827593,-72.6816365
,Guilford,UK,53.0895084,-1.371260740965157
Connecticut,Hampton,US,41.7839873,-72.0547977
,Hampton,UK,51.4150272,-0.3691409
Connecticut,Hartford,US,41.764582,-72.6908547
,Hartford,UK,53.2438398,-2.5476682
Connecticut,Kent,US,41.7246894,-73.476921
,Kent,UK,51.20707485,0.7210361813401444
Connecticut,Killingworth,US,41.3581545,-72.5637023
,Killingworth,UK,55.0319295,-1.581893
Connecticut,Litchfield,US,41.747319,-73.1887243
,Litchfield,UK,51.2826256,-1.3388563
Connecticut,Manchester,US,41.7834017,-72.5231973
,Manchester,UK,53.4794892,-2.2451148
Connecticut,Mansfield,US,41.7782147,-72.2131565
,Mansfield,UK,53.1443785,-1.1964165
Connecticut,Marlborough,US,41.631488,-72.459808
,Marlborough,UK,51.420633,-1.7251743451994652
Connecticut,Meriden,US,41.5381535,-72.8070435
,Meriden,UK,52.4373156,-1.647117
Connecticut,Middlesex County,US,41.4469388,-72.52279145340472
,Middlesex County,UK,51.5957222,-0.1864771293204509
Connecticut,Milford,US,41.2222218,-73.0570603
,Milford,UK,54.3334328,-6.6820317
Connecticut,New Britain,US,41.6612104,-72.7795419
Connecticut,New London,US,41.3556187,-72.0997804
,New London,UK,58.8356775,-2.8993399454931374
Connecticut,Newington,US,41.6978777,-72.7237063
,Newington,UK,51.0945785,1.1160576
Connecticut,Norfolk,US,41.9939828,-73.2020577
,Norfolk,UK,52.666667,1.0
Connecticut,Norwich,US,41.5243537,-72.0759008
,Norwich,UK,52.6285576,1.2923954
Connecticut,Oxford,US,41.4351795,-73.1172769
,Oxford,UK,51.7520131,-1.2578499
Connecticut,Plymouth,US,41.6720318,-73.0528893
,Plymouth,UK,50.3714122,-4.1424451
Connecticut,Portland,US,41.5728924,-72.6406905
,Portland,UK,50.5672516,-2.4472529
Connecticut,Preston,US,41.5268022,-71.982138
,Preston,UK,53.7593363,-2.6992717
Connecticut,Salisbury,US,41.983426,-73.4212318
,Salisbury,UK,51.0690613,-1.7954134
Connecticut,Stafford,US,41.9851964,-72.2895812
,Stafford,UK,52.8063157,-2.1163818
Connecticut,Stamford,US,41.0534302,-73.5387341
,Stamford,UK,52.6519973,-0.4804579
Connecticut,Stratford,US,41.1845415,-73.1331651
,Stratford,UK,52.1927803,-1.70634
Connecticut,Tolland,US,41.8700166,-72.3677153
,Tolland,UK,51.081399,-3.283174
Connecticut,Torrington,US,41.8006523,-73.1212214
,Torrington,UK,50.9571784,-4.1654137
Connecticut,Wallingford,US,41.4570418,-72.8231552
,Wallingford,UK,51.5982886,-1.1251402
Connecticut,Waterford,US,41.358659,-72.1519367
,Waterford,UK,51.8177638,-0.0977397
Connecticut,Weston,US,41.2021302,-73.3812743
,Weston,UK,51.3471927,-2.9778916
Connecticut,Westport,US,41.1414855,-73.3578955
,Westport,UK,56.5592476,-2.5888567
Connecticut,Willington,US,41.874428,-72.2598935
,Willington,UK,52.1368585,-0.3763016
Connecticut,Wilton,US,41.1953739,-73.4378988
,Wilton,UK,51.0805315,-1.8607051
Connecticut,Winchester,US,41.918741999999995,-73.10450029832403
,Winchester,UK,51.0612766,-1.3131692
Connecticut,Windsor,US,41.8525984,-72.6437022
,Windsor,UK,51.4837886,-0.6040418665032687
Connecticut,Windsor Locks,US,41.9281305,-72.643631
,Windsor Locks,UK,55.80140596687158,-2.2109842666035067
Connecticut,Woodstock,US,41.9484307,-71.9739626
,Woodstock,UK,51.8474887,-1.3545343
Delaware,Arden,US,39.81035435,-75.48946621160547
,Arden,UK,55.8066303,-4.3307561
Delaware,Camden,US,39.1134458,-75.5418687
,Camden,UK,51.54279655,-0.16248031357798964
Delaware,Canterbury,US,39.0426129,-75.5554801
,Canterbury,UK,51.2800275,1.0802533
Delaware,Dover,US,39.158168,-75.5243682
,Dover,UK,51.1251275,1.3134228
Delaware,Harrington,US,38.9237244,-75.5777033
,Harrington,UK,53.2267113,0.0469265
Delaware,Kent County,US,39.1156594,-75.484116
,Kent County,UK,51.27847465,0.5224654652678833
Delaware,Lancashire,US,39.8175099,-75.490284
,Lancashire,UK,53.861171150000004,-2.5650944730209586
Delaware,Lewes,US,38.7733961,-75.1379574
,Lewes,UK,50.8746139,0.005115324110936268
Delaware,Lincoln,US,38.866183,-75.42359313571927
,Lincoln,UK,53.2293545,-0.5404819
Delaware,Middletown,US,39.4497639,-75.7166345
,Middletown,UK,54.292796,-6.8442539
Delaware,Milford,US,38.9130453,-75.4278733
,Milford,UK,54.3334328,-6.6820317
Delaware,Milton,US,38.7778049,-75.3101583
,Milton,UK,52.2422961,0.1604726
Delaware,Newark,US,39.6828358,-75.7515682
,Newark,UK,53.0736266,-0.8005422346357507
Delaware,Seaford,US,38.6413452,-75.6114584
,Seaford,UK,50.77825435,0.11067598617092445
Delaware,Sussex County,US,38.6908097,-75.3691421
,Sussex County,UK,50.8310079,-0.16363663167577136
Delaware,Townsend,US,39.3951115,-75.6915973
,Townsend,UK,51.3290032,-2.0513864
Delaware,Warwick,US,38.6031686,-75.2304656
,Warwick,UK,52.2814519,-1.5815742
Delaware,Wilmington,US,39.7459468,-75.546589
,Wilmington,UK,51.4217683,0.18742516959939298
Florida,Alford,US,30.6936569,-85.3918968
,Alford,UK,53.2591409,0.1777346
Florida,Alton,US,30.0530017,-83.1379122
,Alton,UK,51.1489036,-0.9757677
Florida,Amesbury Circle,US,26.6505016,-80.24853602142451
Florida,Amelia Island,US,30.6077379,-81.4600909
,Amelia Island,UK,51.5131804,0.005764184654678605
Florida,Andover,US,25.9684255,-80.2128256
,Andover,UK,51.2078275,-1.479355
Florida,Arlington,US,30.3357952,-81.6028711
,Arlington,UK,51.1468971,-3.9840469
Florida,Ashbury Lane,US,30.54228898662956,-87.33036004011133
,Ashbury Lane,UK,53.340279984507,-1.4545837134112645
Florida,Avon Park,US,27.5960827,-81.5060858
,Avon Park,UK,52.455078549999996,-1.864627839508247
Florida,Banbury,US,30.3392568606361,-81.59049405829806
,Banbury,UK,52.0601807,-1.3402795
Florida,Bath Lane,US,27.045631245388087,-82.13192238300022
,Bath Lane,UK,53.80729688128058,-1.6325983521449183
Florida,Baxter,US,30.5135645,-82.2337287
,Baxter,UK,51.907749949999996,0.6839612809331792
Florida,Beauclerc,US,30.2002407,-81.633148
,Beauclerc,UK,51.49960367950274,-0.2290496571789442
Florida,Bedford Road,US,28.572490402276916,-81.37009536293947
,Bedford Road,UK,51.4397338,-0.34944434999999996
Florida,Beechwood,US,30.2919073,-81.5167555
,Beechwood,UK,51.5926555,-2.9642537
Florida,Berkshire Lakes,US,26.1613555,-81.72692277488538
Florida,Beresford,US,29.0024851,-81.347286
,Beresford,UK,55.86623925,-4.268187729359252
Florida,Beverly Beach,US,29.5146969,-81.1445045
Florida,Bloxham,US,30.3885306,-84.6307437
,Bloxham,UK,52.0182016,-1.3597840224410789
Florida,Boston Street,US,28.024213697269044,-81.67031604706641
,Boston Street,UK,53.461776498925225,-2.2489738564757755
Florida,Brentwood,US,30.3670906,-81.66066591633512
,Brentwood,UK,51.6201654,0.3018662
Florida,Bridgewater,US,30.296166,-81.6173217
,Bridgewater,UK,51.535283500000006,-0.008877468796799647
Florida,Brighton Bay,US,30.31012355,-81.48308038893231
,Brighton Bay,UK,55.04988935,-1.4544229
Florida,Bristol,US,30.4321947,-84.9765067
,Bristol,UK,51.4538022,-2.5972985
Florida,Buckingham,US,26.660637,-81.73960378144224
,Buckingham,UK,51.9983175,-0.9786725
Florida,Burlington Heights,US,27.77356891199668,-82.70769851684628
Florida,Caldwell Terrace,US,28.69214839896332,-81.51541144999646
,Caldwell Terrace,UK,55.70078562567748,-3.6159398907938534
Florida,Cambridge Road,US,30.274720136643293,-81.72464173874828
,Cambridge Road,UK,51.47520610442534,-0.163021670641607
,Camden Square,UK,51.544680299999996,-0.1321335288694933
Florida,Canterbury,US,28.1234059,-82.573601
,Canterbury,UK,51.2800275,1.0802533
Florida,Carlisle,US,26.23116345,-81.77169261119062
,Carlisle,UK,54.8948478,-2.9362311
Florida,"Carlton, Pinellas County",US,27.979584168848277,-82.79337069990542
Florida,"Carlton, St. Lucie County",US,27.464963608279938,-80.3002721245886
Florida,Charlotte Beach,US,26.90682155,-82.3422267791273
Florida,Charlotte County,US,26.9013269,-81.9156799
,Charlotte County,UK,54.590877438012456,-5.927202612274347
Florida,Charlotte Harbor,US,26.9591608,-82.0679253
Florida,Charlotte Park,US,26.904622,-82.04396158446734
,Charlotte Park,UK,52.25323105,-2.1565790043940507
Florida,Charlotte Square,US,27.0010906,-82.12389233328284
,Charlotte Square,UK,51.32439375,-2.2067228749684364
Florida,Chatham,US,25.7142722,-81.2439654
,Chatham,UK,51.3819167,0.526559
Florida,Chelsea,US,30.14560315,-81.63903819922234
,Chelsea,UK,51.4875167,-0.1687007
Florida,Chelsea Place,US,28.18000165,-82.69187079361026
,Chelsea Place,UK,50.547986059231924,-3.5042064519167258
Florida,Cheshire Drive,US,28.53720892493454,-80.81044789009903
,Cheshire Drive,UK,52.588480296547026,-1.1295617287585153
Florida,Chester,US,30.6830145,-81.5400952
,Chester,UK,53.1908873,-2.8908955
Florida,Chichester,US,28.580938348555296,-81.3643114402367
,Chichester,UK,50.8364862,-0.7791721
Florida,Colchester Court,US,28.206404457665247,-82.75674312681072
,Colchester Court,UK,51.991792099293995,-0.7569934122383963
Florida,"Concord, Gadsden County",US,30.6578141,-84.3648016
Florida,"Concord, Leon County",US,30.563811,-84.0454476
Florida,Cornwall,US,26.385875400000003,-80.18120344773044
,Cornwall,UK,50.416667,-4.75
Florida,Cornwell,US,27.3786521,-81.0967332
,Cornwell,UK,51.9424976,-1.6081034
Florida,Covington Park,US,28.64202705,-81.21054411974522
,Covington Park,UK,53.32498735,-2.22982165
Florida,Crawford,US,30.5088478,-81.8809412
,Crawford,UK,55.4695075,-3.6535274
Florida,Cumberland,US,26.0330262,-80.1589536
,Cumberland,UK,54.67842505,-3.304001955591123
Florida,Cuxham Drive,US,28.396129817483622,-81.40082972523376
Florida,Darlington,US,30.9437933,-86.0574391
,Darlington,UK,54.5242081,-1.5555812
Florida,Davenport,US,28.1614046,-81.6017417
,Davenport,UK,53.390734,-2.1521585
Florida,Denham,US,28.768237223860353,-81.91364552207274
,Denham,UK,51.5729922,-0.4998008
Florida,Derby Woods,US,30.237771146728225,-85.61773457059262
,Derby Woods,UK,51.23944815,0.0895513474096101
Florida,Dorset,US,28.06747095,-82.47398794820205
,Dorset,UK,50.79683685,-2.34473226124306
Florida,Dorchester,US,26.2214319,-81.81173730896415
,Dorchester,UK,50.7132064,-2.4371229
Florida,Dover,US,27.99439345,-82.22171105983051
,Dover,UK,51.1251275,1.3134228
Florida,Dovercourt Lane,US,29.36503434115753,-81.15077463922538
,Dovercourt Lane,UK,51.3706157,-0.190637
Florida,Durham,US,30.618805,-85.0999227
,Durham,UK,54.666667,-1.75
Florida,Eastbrook,US,28.6082228,-81.29951386024271
,Eastbrook,UK,51.4378361,-3.2062588
Florida,"Eastgate, Orange County",US,28.602156100000002,-81.32589334164312
Florida,"Eastgate, Manatee County",US,27.4419863,-82.5059295
Florida,"Eastgate, Sarasota County",US,27.0975554,-82.421207
Florida,East Hill,US,30.4271723,-87.2039138
,East Hill,UK,51.3386003,0.2346905
Florida,Essington Lane,US,29.494113033602204,-81.22826653256375
,Essington Lane,UK,50.800285122373076,-3.888636716614362
Florida,Essex Lane,US,26.665646116570528,-80.05105819949534
,Essex Lane,UK,51.6182822680152,0.32418217171396385
Florida,Essex Street,US,30.380010440760454,-81.6694826949849
,Essex Street,UK,51.55057198740039,0.021453755068235145
Florida,Ewell,US,27.8933594,-81.9248054
,Ewell,UK,51.3502402,-0.2511759
Florida,Exeter,US,26.60870565,-80.21110233042188
,Exeter,UK,50.7256138,-3.5269209
Florida,Falmouth,US,30.3629967,-83.1312484
,Falmouth,UK,50.1552197,-5.0688262
Florida,Faringdon Drive,US,30.481316097444505,-84.33518997756691
,Faringdon Drive,UK,51.4021229439757,-0.7390895232704273
Florida,Fort Pierce,US,27.4467056,-80.3256056
Florida,Glastonbury Circle,US,26.564732330003547,-81.78087496357219
,Glastonbury Circle,UK,51.1449896,-2.5854317331803447
Florida,Gloucester Court,US,26.590501,-81.8770725
,Gloucester Court,UK,51.4809229,-0.2871341665879735
Florida,Greenacres,US,26.623679,-80.1253213
,Greenacres,UK,56.1628462,-3.4004777
Florida,"Greenfield, Columbia County",US,30.3138395,-82.5626234
Florida,"Greenfield, Duval County",US,30.3521849,-81.4467535
Florida,"Greenfield, Pasco County",US,28.353615,-82.5048186
Florida,Greenhead,US,30.5046385,-85.6599299
,Greenhead,UK,54.9934999,-2.4879527601351246
Florida,Greenwich,US,29.61640015,-82.37512015404594
,Greenwich,UK,51.4820845,-0.0045417
Florida,Grimsby Lane,US,28.176246183452555,-82.6846918009949
,Grimsby Lane,UK,53.40941506544461,0.0016189119473542554
Florida,Guilford,US,30.0546823,-82.4123381
,Guilford,UK,53.0895084,-1.371260740965157
Florida,Halifax River,US,29.2226094,-81.01896545
,Halifax River,UK,53.7153004,-2.0881265
Florida,Hampshire,US,27.9933017,-82.4358103
,Hampshire,UK,51.04498135,-1.243313330111055
Florida,Hampshire Hills,US,28.9555017373364,-82.47268371152009
Florida,Hampstead Lane,US,28.09160629314874,-81.98297854530374
,Hampstead Lane,UK,51.57298316111862,-0.16829949237360273
Florida,Hampton,US,29.864533,-82.130956
,Hampton,UK,51.4150272,-0.3691409
Florida,Harpswell Drive,US,27.809943027014494,-82.29356139030982
Florida,Harrington,US,30.359538527347684,-81.45737809839783
,Harrington,UK,53.2267113,0.0469265
Florida,Harrington Lake,US,27.0644794,-82.36486575
Florida,Harwich Circle,US,26.96297262512868,-82.34873948545506
Florida,Haverhill,US,26.6931716,-80.1130257
,Haverhill,UK,52.0832721,0.4353932
Florida,Haynes,US,30.8687182,-84.9576553
,Haynes,UK,52.0666018,-0.3982969
Florida,Heathrow,US,28.775032500000002,-81.37175347208213
,Heathrow,UK,51.46773895,-0.4587800741571181
Florida,Hillsboro Beach,US,26.2939687,-80.0789318
Florida,Hillsborough County,US,27.9184543,-82.3488057
,Hillsborough County,UK,54.462813,-6.0830844
Florida,Hillsborough River,US,28.095522,-82.309239
Florida,Holly Hill,US,29.2435916,-81.0375555
,Holly Hill,UK,54.83601655,-7.406530602743979
Florida,Hollywood,US,26.0112014,-80.1494901
,Hollywood,UK,52.3882858,-1.8766952
Florida,"Huntington, Marion County",US,29.1702551,-82.0617559
Florida,"Huntington, Putnam County",US,29.4405286,-81.552575
Florida,Hyde Park,US,27.9353426,-82.4732361
,Hyde Park,UK,51.5074889,-0.1622074056037135
Florida,Inwood,US,28.0374357,-81.76763001377932
,Inwood,UK,52.5623727,-2.7951502
Florida,Kensington Park,US,27.3612026,-82.4944841430141
,Kensington Park,UK,54.8761154,-6.277091948870403
Florida,Kent,US,30.5216251,-81.9665003
,Kent,UK,51.20707485,0.7210361813401444
Florida,Keswick,US,27.822525,-82.778991
,Keswick,UK,54.6009812,-3.1375822
Florida,Kingsford,US,27.8800265,-81.9731395
,Kingsford,UK,55.7022247,-4.476805
Florida,Kingsland,US,26.4636847,-80.1028209
,Kingsland,UK,52.2495981,-2.8146415
Florida,Kingsley Plantation,US,30.4392648,-81.4379496
Florida,King Charles Circle,US,29.081070882889545,-81.30650265381594
Florida,King Edward Drive,US,29.272256,-81.07589395
,King Edward Drive,UK,51.374252974422774,-0.3044664645119176
Florida,King Henry Avenue,US,28.661275748441945,-81.85231794640148
,King Henry Avenue,UK,51.60423627321366,-1.1454403745123745
,King Henry Road,UK,51.29140550772037,-0.8452561076736271
Florida,King Richard Lane,US,27.328626099544948,-82.48323766217459
Florida,Kingston,US,25.8015333,-81.4569371
,Kingston,UK,52.1791855,-0.0321477
Florida,Lake George,US,29.298638500000003,-81.59209715180492
Florida,Lancaster,US,30.24911,-83.202916
,Lancaster,UK,54.0484068,-2.7990345
Florida,Langdon Beach,US,26.57287775,-80.1289972
,Langdon Beach,UK,51.1336133,1.3508374457816372
Florida,Layton,US,24.8240255,-80.8136783
,Layton,UK,53.8353457,-3.0299186
Florida,Lexington,US,26.634784449999998,-81.790469325
,Lexington,UK,51.5576818,-0.27783920100609966
Florida,Lincoln,US,27.9490903,-82.4983829
,Lincoln,UK,53.2293545,-0.5404819
Florida,Liverpool,US,27.0392234,-81.9867533
,Liverpool,UK,53.4071991,-2.99168
Florida,Liverpool Island,US,27.0392234,-81.9867533
,Liverpool Island,UK,53.402955500000004,-2.9955797095816865
Florida,"Lockwood, Orange County",US,28.5622225,-81.1442307
Florida,London Drive,US,29.6108993,-81.27736035
,London Drive,UK,55.83968360657471,-4.14054859261742
Florida,Londonderry,US,28.587233599999998,-81.44640054606491
,Londonderry,UK,54.9978678,-7.3213056
Florida,Longwood,US,28.7012172,-81.3461738
,Longwood,UK,53.6473739,-1.8364902
Florida,Lundy,US,29.6183027,-81.6475816
,Lundy,UK,51.180491700000005,-4.668687795822284
,Manchester,UK,53.4794892,-2.2451148
Florida,Manchester Lakes,US,26.6230788,-80.21463036908138
,Mansfield Heights,UK,55.40261855670936,-4.177220525161555
Florida,Margate,US,26.2445263,-80.206436
,Margate,UK,51.3878174,1.3819699
Florida,Marlborough,US,27.048641631622893,-82.07659458907827
,Marlborough,UK,51.420633,-1.7251743451994652
Florida,Melbourne,US,28.0785034,-80.6077908
,Melbourne,UK,52.8228134,-1.4283564
Florida,Middlesex Road,US,28.57570677555093,-81.36187137465842
,Middlesex Road,UK,51.394897299800725,-0.13005958525111636
,Mulburry,UK,51.11408965,-2.6578573154676244
Florida,Newberry,US,29.6463535,-82.6065023
,Newberry,UK,51.2005306,-4.026018781862216
Florida,Newburn,US,30.2724437,-83.1406917
,Newburn,UK,54.983543,-1.7405072
Florida,Newcastle,US,30.3721838,-81.5856485
,Newcastle,UK,54.9738474,-1.6131572
Florida,Newmarket,US,30.516545643084893,-84.22557187327135
,Newmarket,UK,52.2443103,0.4065503
Florida,"New River, Broward County",US,26.117213596460047,-80.14118229230009
Florida,Norfolk Street,US,28.68514733463937,-80.84694971076
,Norfolk Street,UK,51.550776944111064,0.021429920106517796
Florida,"Northwood, Alachua County",US,29.7024667,-82.369273
Florida,"Northwood, Palm Beach County",US,26.71295581229263,-80.1051038562724
Florida,Norwich Circle,US,27.71874515,-82.3602971
Florida,Nottingham,US,30.4042908,-87.3205349
,Nottingham,UK,52.9534193,-1.1496461
Florida,Nottingham Street,US,28.581820666321914,-81.36450839259379
,Nottingham Street,UK,51.521343443202255,-0.15255477297866543
Florida,Oxford,US,28.9275357,-82.0373326
,Oxford,UK,51.7520131,-1.2578499
Florida,Parham Heights,US,27.9476614,-82.4543771
,Parham Heights,UK,52.65163667984191,-1.165458878555461
Florida,Pembridge Avenue,US,28.60588193158647,-81.17213685959202
,Pembridge Avenue,UK,51.447358084851714,-0.3810118997494477
Florida,Plymouth,US,28.6922188,-81.547295
,Plymouth,UK,50.3714122,-4.1424451
Florida,Port Charlotte,US,26.9761707,-82.0906448
,Port Charlotte,UK,55.7395914,-6.377916
Florida,Portland,US,30.5124181,-86.1957755
